CENSUSKEY,OFFENSE
Census Tract 102,1
Census Tract 104,4
Census Tract 106,1
Census Tract 109,3
Census Tract 21.01,1
Census Tract 27.02,1
Census Tract 28.01,1
Census Tract 28.02,2
Census Tract 31,1
Census Tract 33.02,2
Census Tract 35,1
Census Tract 36,1
Census Tract 38,1
Census Tract 44,1
Census Tract 47.01,2
Census Tract 48.01,1
Census Tract 49.01,1
Census Tract 50.02,1
Census Tract 58,1
Census Tract 59,1
Census Tract 62.02,1
Census Tract 64,1
Census Tract 71,1
Census Tract 72,2
Census Tract 73.04,3
Census Tract 74.01,2
Census Tract 74.03,2
Census Tract 74.04,2
Census Tract 74.06,3
Census Tract 74.07,2
Census Tract 74.08,4
Census Tract 74.09,2
Census Tract 75.02,4
Census Tract 75.03,2
Census Tract 75.04,3
Census Tract 76.01,4
Census Tract 76.03,2
Census Tract 76.05,5
Census Tract 77.03,1
Census Tract 77.07,1
Census Tract 77.08,2
Census Tract 78.04,5
Census Tract 78.06,1
Census Tract 78.08,4
Census Tract 78.09,1
Census Tract 79.01,5
Census Tract 80.01,4
Census Tract 84.10,1
Census Tract 87.01,1
Census Tract 87.02,1
Census Tract 88.03,4
Census Tract 88.04,1
Census Tract 89.03,1
Census Tract 89.04,3
Census Tract 91.02,4
Census Tract 92.03,1
Census Tract 92.04,2
Census Tract 95.04,1
Census Tract 95.05,2
Census Tract 95.07,1
Census Tract 96.01,1
Census Tract 96.03,1
Census Tract 97,2
Census Tract 98.02,1
Census Tract 98.03,6
Census Tract 98.04,3
Census Tract 98.07,3
Census Tract 98.10,1
Census Tract 98.11,6
Census Tract 99.03,3
Census Tract 99.05,3
Census Tract 99.07,8
